IPL season,Match Id,Team 1,Team 2,Winning Team,Innings1 runs,Innings1 wickets,Innings1 overs,Innings2 runs,Innings2 wickets,Innings2 overs,Venue,Date
3,10618,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,185,6,20,190,5,19.1,"Arun Jaitley Stadium, Delhi",2010-03-19
3,10619,Deccan Chargers,Kings XI Punjab,Deccan Chargers,170,7,20,164,8,20,"Barabati Stadium, Cuttack",2010-03-19
3,10620,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,168,7,20,134,5,20,"Sardar Patel Stadium, Ahmedabad",2010-03-20
3,10621,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,151,9,20,155,3,19.1,"Brabourne Stadium, Mumbai",2010-03-20
3,10622,Deccan Chargers,Delhi Capitals,Deccan Chargers,171,6,20,161,9,20,"Barabati Stadium, Cuttack",2010-03-21
3,10623,Kings XI Punjab,Chennai Super Kings,Match tied (Kings XI Punjab,136,8,20,136,7,20,"MA Chidambaram Stadium, Chennai",2010-03-21
3,10624,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,155,3,20,156,3,18.3,"Brabourne Stadium, Mumbai",2010-03-22
3,10625,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,171,5,20,135,7,20,"M.Chinnaswamy Stadium, Bengaluru",2010-03-23
3,10626,Rajasthan Royals,Kings XI Punjab,Rajasthan Royals,183,5,20,152,10,19.1,"Punjab Cricket Association IS Bindra Stadium, Mohali",2010-03-24
3,10627,Delhi Capitals,Royal Challengers Bangalore,Delhi Daredevils,183,4,20,166,9,20,"M.Chinnaswamy Stadium, Bengaluru",2010-03-25
3,10628,Chennai Super Kings,Mumbai Indians,Mumbai Indians,180,2,20,181,5,19,"Brabourne Stadium, Mumbai",2010-03-25
3,10629,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,148,9,20,151,2,15.4,"Sardar Patel Stadium, Ahmedabad",2010-03-26
3,10630,Kolkata Knight Riders,Kings XI Punjab,Kolkata Knight Riders,183,5,20,144,6,20,"Punjab Cricket Association IS Bindra Stadium, Mohali",2010-03-27
3,10631,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,177,8,20,160,6,20,"Sardar Patel Stadium, Ahmedabad",2010-03-28
3,10632,Mumbai Indians,Deccan Chargers,Mumbai Indians,172,7,20,131,10,17.4,"Dr DY Patil Sports Academy, Mumbai",2010-03-28
3,10633,Delhi Capitals,Kolkata Knight Riders,Delhi Daredevils,177,4,20,137,9,20,"Arun Jaitley Stadium, Delhi",2010-03-29
3,10634,Kings XI Punjab,Mumbai Indians,Mumbai Indians,163,10,20,164,6,19.3,"Brabourne Stadium, Mumbai",2010-03-30
3,10635,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,161,4,20,162,5,18.5,"MA Chidambaram Stadium, Chennai",2010-03-31
3,10636,Delhi Capitals,Rajasthan Royals,Delhi Daredevils,188,6,20,121,10,17.4,"Arun Jaitley Stadium, Delhi",2010-03-31
3,10637,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,181,6,20,157,5,20,"Eden Gardens, Kolkata",2010-04-01
